cluster,occurences
ʒvdv,1
vdv,1
rmj,1
ʃfkr,1
ɣʒv,1
drg,1
drgn,1
rgn,1
ŋt͡smɲ,1
t͡smɲ,1
fspʃ,1
mkʃ,2
tfpʃ,1
ɲt͡ʃp,1
tkw,1
sfʃ,2
ŋkk,1
ʃtm,1
mkw,1
zmp,1
ɣdʒ,2
ɣdb,1
ʒd͡ʒgm,1
ʒvw,1
lzv,1
lzvɣ,1
zvɣ,1
ŋd͡zm,1
d͡zm,2
mzv,3
mspr,3
vbʒ,1
rwn,1
zdgv,1
dgv,1
rfp,1
kss,1
llb,1
ʒbr,1
wzv,3
wzn,3
ɲpr,1
t͡ʃfpw,1
ŋt͡sʃk,1
t͡sʃk,1
d͡ʒdr,1
ktn,1
ɲfsp,1
ŋt͡sst,1
swg,1
zwʃ,1
stʃk,1
kʃw,1
mʒr,1
ʃt͡ʃʃr,1
t͡ʃʃr,1
ŋkj,1
stfsp,2
tfsp,2
drj,1
lstt͡ʃ,1
vzw,1
gzbr,1
mbl,3
bgv,1
wfst,1
mzdr,1
stfʃ,2
zzz,2
t͡ʃspʃ,1
d͡ʒzdj,1
mmw,2
rpk,1
gwm,1
mbv,1
mbvm,1
bvm,1
t͡ʃʃɲ,1
ɣmr,1
ggv,1
zmf,1
zmfs,1
zmfst,1
ʃtr,1
kwz,1
kwzv,1
wspʃ,1
skk,1
skkl,1
kkl,1
mdl,1
tfsk,1
fskʃ,1
rt͡ʃj,1
wdv,1
nkt͡ʃ,1
ʃfʃ,1
ʃfʃp,1
ftt͡ʃ,1
ŋd͡zzw,1
d͡zzw,1
ɣmw,1
ɲd͡ʒzm,1
swsm,1
wsm,1
pʃr,1
d͡zvm,1
dmw,1
rvv,1
wvɣ,1
dzz,2
dzzɣ,1
zzɣ,1
lmd,1
ldɣ,1
ksv,1
sv,1
mkt,1
ʒzd,1
lmp,1
lmpʃ,1
gɣʒ,1
ggd͡ʒ,1
ŋtʃp,1
ʃxt͡ʃ,1
gwd,1
dwv,2
dwvv,1
wvv,1
ŋt͡sfkr,2
t͡sfkr,2
tfpw,1
vɣl,1
mft͡ʃ,1
gwʃ,1
gd͡ʒv,1
rtn,3
ŋtl,1
st͡spʃ,1
pstr,1
rft,1
rftr,1
lbʒ,1
rtw,1
ntx,1
ntxt͡ʃ,1
tx,3
txt͡ʃ,1
ʒd͡ʒɣ,1
ʒd͡ʒɣv,1
d͡ʒɣv,1
dgd,1
mɣw,1
t͡ʃkf,1
kfpr,2
wʒv,1
zdɣv,1
mvzg,1
mvzgl,1
ngdv,1
gdv,1
ɣbw,1
mfsp,2
ɲstft͡ʃ,1
ɲstft͡ʃw,1
stft͡ʃ,1
stft͡ʃw,1
tft͡ʃ,1
tft͡ʃw,1
ft͡ʃw,1
wtf,1
wmr,1
nsn,1
nɣr,1
zmɲ,2
ʃfspr,1
kks,1
kksp,1
kkspʃ,1
kspʃ,1
mfj,1
ŋtt͡s,1
wvg,1
wvgw,1
t͡ʃfʃ,1
wft,1
ngb,1
nzl,1
sstr,1
xfk,2
xfkw,1
ttn,1
pf,1
zdvɲ,1
dvɲ,1
t͡skr,2
d͡ʒvg,1
mfpʃ,1
fkn,1
ŋt͡stf,1
t͡ʃmt͡s,1
t͡ʃmt͡st͡s,1
t͡ʃmt͡st͡sl,1
mt͡st͡s,1
mt͡st͡sl,1
t͡st͡sl,1
ddɲ,1
xʃr,2
mbɣ,1
ʃspʃ,1
xfsk,1
ddɣ,1
rnt͡s,1
rnt͡sr,1
nt͡sr,1
ɲstfs,1
zzv,1
zzvw,1
psw,1
skn,1
lfs,1
lfst,1
ʃt͡ʃpr,1
ɣvj,1
mzz,1
nzg,1
vdɲ,2
ɲstft,1
ɲstftʃ,1
stft,1
stftʃ,1
tft,1
tftʃ,1
fkf,1
ɣzɲ,1
llv,1
rtx,1
npʃ,1
lnɲ,1
t͡ʃʃt͡ʃ,2
ŋdʒ,1
ŋdʒb,1
dʒb,1
ʃt͡ʃfp,1
stʃt͡ʃ,1
t͡ʃsfʃ,1
gdw,2
zdgr,1
mff,1
mffr,1
ffr,1
ɲt͡ʃʃ,1
zvm,1
lzd,1
mtrv,1
ŋdvr,1
kfʃ,1
ʃpw,1
gvbr,1
stt͡s,1
lzb,1
gdzn,1
tsm,1
ŋt͡ʃpl,1
t͡ʃkt,1
ŋdz,1
ŋdzz,1
sspʃ,1
ɲʃ,1
rkm,1
zdzb,2
zdzbl,1
dzb,2
dzbl,1
nbr,1
stl,1
stlp,1
tlp,1
kfpʃ,1
sʃk,1
bzn,1
ɣgv,1
gvz,1
mʃʃ,1
stfʃr,1
tfʃr,1
bzw,1
vdl,1
fstf,1
txt,1
ʃt͡ʃt͡s,1
ɣzgw,1
dwz,3
dwzɲ,2
wt͡ʃw,1
dwzn,1
d͡ʒgw,1
d͡ʒvv,1
xkrv,1
kstp,2
kstpr,1
xfkr,1
xfspr,1
ktɲ,1
rtj,1
ɣns,1
ɣnst,1
nstʃ,1
d͡zgw,1
zgb,1
zdgw,1
